,body,date,id
0,"If you look at the demo you&#x27;ll see that while it&#x27;s likely close to the best you can do with web tech, the physics don&#x27;t feel correct because we can&#x27;t reuse the native constants. Also the UI is very flat and simple. More complex UIs would be a struggle without react native.",2015-01-29 07:18:46,8964780
1,"&gt; Google Inbox shares 70% of its code across Android, iOS, and Chrome<p>In case you are starting now with a new app then i think the best bet would be to use React native where you would get to reuse 100%[1] code across the platforms.<p>Google wrote separate UI code for each platform but react native does that conversion also by itself and leaves you with even lesser work\code<p>[1] - as claimed by react team",2015-02-05 01:19:30,9001206
2,"I think in either the first or second keynote back to when React native was announced they talked about their reasoning behind using flexbox. I think it&#x27;s also &#x27;the good&#x27;. They were able to use a web technology and make it work in react native just as if it&#x27;s the browser, pretty impressive. If they had to come up with their own &#x27;css&#x27; style layout api I would then have put it in &#x27;the bad&#x27; myself.",2015-03-30 13:34:25,9289353
3,does react native support android yet?,2015-05-26 11:14:42,9603963
4,"Also, with react native you can push software updates over the wire without Apple even knowing.",2015-05-27 01:21:51,9608744
5,"You can access the native objects and interact with them in javascript using Tint (essentially node.js + native-bridge + ease-of-use-wrapper).  A little different then &quot;run-in-a-webkit-with-C++-callbacks&quot; mentality (e.g., phonegap, node-webkit), or facebook&#x27;s &quot;branded-programming&quot; with react native.",2015-05-27 02:29:31,9608986
6,"That&#x27;s me in the video (hi!).<p>Re: pico. You&#x27;d be surprised what editors new employees and interns use when presented with a shell prompt :-D. At FB everyone is free to use their editor of choice...we don&#x27;t force Nuclide on them.<p>Re: what&#x27;s different. Xcode does Objective-C well. IntelliJ does Java well. PHPStorm does PHP well. Tons of editors do JS well. As soon as you start mixing technologies, the IDEs quickly degrade in overall usefulness and you basically have an IDE for one tech and a dumb text editor for the other. Nuclide is opinionated and provides a nice integrated end-to-end experience if you buy into the tech it supports. If you don&#x27;t use any of that tech (Hack, react, buck, react native, flow, phabricator, mercurial, etc) or only use 1 language&#x2F;platform at a time (like a pure objective-c iOS app) then Nuclide basically is Atom.<p>Nuclide&#x27;s value is super apparent with React Native. You need to be able to edit JS and Objective-C and eventually Java, and it would be nice to have all the autocomplete&#x2F;click-to-symbol&#x2F;code search goodies for all three. Let alone debugging all of them and jumping between the stacks. No IDE provides all the features you need for a project like React Native out of the box. So we built one (leveraging Atom of course). It is magic working on a React Native app and using the same debugging UI to step through the JS, and then the Objective-C, and then using the SAME interface to debug your Hack code on the server.<p>Finally, over time you&#x27;ll start to see a bunch of really, really smart integration with tools and libraries like Relay and GraphQL. We already have some internally--I can &quot;click to definition&quot; in a GraphQL query and see where it is defined in JS, and then click through and see where it is implemented in Hack on the server. Simple symbol search can&#x27;t do that and spanning multiple languages and stacks is unsupported by most IDEs. Nuclide is opinionated so we can do deep integration like that...we leave the general editor-stuff to Atom proper.<p>Re: clumsy demo. I actually converted from vim when we started Nuclide...I even used vim for most of my JS&#x2F;Android&#x2F;Hack&#x2F;iOS programming. For the demo I didn&#x27;t install the vi bindings because I wanted fewer things that could go wrong. Because I wasn&#x27;t a huge IDE user previously you see me using the mouse a ton instead of (generally) standard IDE keyboard shortcuts.",2015-06-24 01:37:07,9769052
7,"I do think the author overstates their importance. All of the technologies he listed aren&#x27;t exactly earth shattering; the web would be the same as it was yesterday if these technologies disappeared today. For example, react &quot;native&quot;; were apps not built before that? The only thing that did was let JavaScript devs write for iOS. Have apps increased in quality since react native? No. It just made it easier for JS devs to not learn Swift or Objective C. But it hasn&#x27;t innovated much in terms of the user. Most of what they&#x27;ve done has been in Javascript frameworks; how innovative is that really? I actually like React, but it isn&#x27;t like they&#x27;ve invented HTTP. It&#x27;s just another framework. I can do some cool stuff, but nothing that could be done before. It all feels like a self congratulatory circle jerk with actual user-level improvements that would not be particularly noticeable by the average user; the Facebook UX I am presented on the web is still the same cluttered mess it has always been. So what magic is this innovation actually creating? Just because we like a particular framework doesn&#x27;t elevate it to the level of earth shattering. It certainly hasn&#x27;t had the effect on the web that Rails has.",2015-07-05 19:42:35,9834683
8,"Great cheatsheet; I&#x27;ll definitely use it.  Don&#x27;t know if you&#x27;re a react native developer or not but it would be neat to annotate these with info about which properties are supported by react native&#x27;s layout, since it&#x27;s not a 100% clone of flexbox.",2015-09-20 05:48:23,10246683
9,Apple has already given permission to update anything that uses HTML&#x2F;JAVASCRIPT.   Which react native does.,2015-11-06 01:50:54,10517409
