,body,date,id
2563,"The comparaison with JS is perfect. 
Like JS is the asm of the web ecosystem (no one wants to write its code just in JS, we generate it instead), default android and IOS way of programming have to be be generated.<p>Try Xamarin [0] or the newcomer flutter [1]. It&#x27;s such a pain in the ass to dev in raw android or raw ios, use multi platform sdks.<p>And if you start with xamarin, you can target windows phone too, even if nobody cares ;-)<p>[0] <a href=""https:&#x2F;&#x2F;www.xamarin.com&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.xamarin.com&#x2F;</a>
[1] <a href=""https:&#x2F;&#x2F;flutter.io&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;flutter.io&#x2F;</a>",2016-10-13 11:45:35,12700014
2751,".NET would have had a real chance at being the android application platform if it was philosophically in the state that it is today (open sourced toolchain&#x2F;compilers, open-source friendly MS, Mono&#x2F;Xamarin in good shape).<p>Moving android away from Java is going to be a big undertaking and I doubt Google will undertake such a huge project only to move away from Oracle and closer to MS.<p>If they ever try to replace Java, it&#x27;ll be Dart or another language they acquire in future. Dart has good chances.<p>They already have an early stage framework to make Android (and iOS) apps with Dart[0]. It&#x27;s also the main GUI toolkit for their Fuchsia OS [1].<p>0 <a href=""https:&#x2F;&#x2F;flutter.io&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;flutter.io&#x2F;</a><p>1 <a href=""https:&#x2F;&#x2F;github.com&#x2F;fuchsia-mirror&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;fuchsia-mirror&#x2F;</a>",2016-11-16 17:12:11,12969062
3452,Does Xamarin have native UI widgets not just basic components?<p>ReactNative has native controls but most are just basic. Flutter has material&#x2F;ios widgets built in which simplifies develpoment. I like flutters declarative syntax similar to reactjs. But its still in alpha hence can&#x27;t commit much time to it.,2017-11-28 12:22:07,15796545
3522,"So, how &quot;easy&quot; is to interface flutter with swift&#x2F;java&#x2F;xamarin or similar?<p>I could live with a &quot;small&quot; dls if is constrained to UI rendering and let me do the logic on a more native lang...",2018-02-26 20:04:33,16468480
3523,"There&#x27;s been a C dart FFI for years. Communicating with whichever other system shouldn&#x27;t be any harder than the next language. None of those would be my first choice though. The less platform specific code you write, the fewer platform specific issues you&#x27;ll be dealing with. Plus xamarin isn&#x27;t native anywhere.<p>With Flutter apps using the AOT, performance should already be good. Here&#x27;s an interesting real world comparison between libsass (a C library) and dartsass.<p><a href=""https:&#x2F;&#x2F;github.com&#x2F;sass&#x2F;dart-sass&#x2F;blob&#x2F;master&#x2F;perf.md"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;sass&#x2F;dart-sass&#x2F;blob&#x2F;master&#x2F;perf.md</a><p>From the Flutter FAQ<p><a href=""https:&#x2F;&#x2F;flutter.io&#x2F;faq&#x2F;#"" rel=""nofollow"">https:&#x2F;&#x2F;flutter.io&#x2F;faq&#x2F;#</a><p>&gt; How does Flutter run my code on Android?<p>&gt; The engines C&#x2F;C++ code is compiled with Androids NDK, and any Dart code is AOT-compiled into native code. The app runs using the native instruction set (no interpreter is involved).<p>&gt; How does Flutter run my code on iOS?<p>&gt; The engines C&#x2F;C++ code is compiled with LLVM, and any Dart code is AOT-compiled into native code. The app runs using the native instruction set (no interpreter is involved).<p>&gt; Can I access platform services and APIs like sensors and local storage?<p>&gt; Yes. Flutter gives developers out-of-the-box access to some platform-specific services and APIs from the operating system. However, we want to avoid the lowest common denominator problem with most cross-platform APIs, so we do not intend to build cross-platform APIs for all native services and APIs.<p>&gt; A number of platform services and APIs have ready-made packages available in the Pub repository. Using an existing package is easy.<p>&gt; Finally, we encourage developers to use Flutters asynchronous message passing system to create your own integrations with platform and third-party APIs. Developers can expose as much or as little of the platform APIs as they need, and build layers of abstractions that are a best fit for their project.",2018-02-26 22:22:33,16469519
3532,"No, the efficacy of the direct GL canvas native bindings and the view composition architecture are why it&#x27;s efficient. Yes, there&#x27;s little runtime language overhead because it&#x27;s AOT compiled, but that alone wouldn&#x27;t cause it to win over another AOT compiled mobile device strategy, such as an AOT xamarin project. (And all the other points in that article apply equally to xamarin, for example; and some are just opinion like the xml vs code for layout debate) I&#x27;m sorry, but I don&#x27;t see how any of flutter&#x27;s real performance wins are truly tied to its&#x27; choice of language, and it&#x27;s a competitive market. I&#x27;ll be happy if I&#x27;m proven wrong in a year or two&#x27;s time, however.",2018-02-27 18:22:57,16476319
3535,"Disclaimer: I work on Flutter<p>Xamarin currently manipulates OEM SDKs&#x27;s bundled widgets <a href=""https:&#x2F;&#x2F;visualstudiomagazine.com&#x2F;articles&#x2F;2017&#x2F;12&#x2F;04&#x2F;flutter-challenges-xamarin.aspx"" rel=""nofollow"">https:&#x2F;&#x2F;visualstudiomagazine.com&#x2F;articles&#x2F;2017&#x2F;12&#x2F;04&#x2F;flutter...</a><p>Though there is a proof of concept running Xamarin with portable custom widgets on Skia <a href=""https:&#x2F;&#x2F;xamarinhelp.com&#x2F;skixam-skiasharp-platform-xamarin-forms-proof-concept&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;xamarinhelp.com&#x2F;skixam-skiasharp-platform-xamarin-fo...</a>",2018-02-27 21:18:17,16478002
3561,"What is it about &quot;hot reload&quot; that is so appealing to people? Running an app takes less than a second on Xcode. And .NET had &quot;modify, recompile and continue&quot; in 2005 at the latest. I fail to see the revolution here.<p>Your nonchalant mention of &quot;Xamarin or whatever&quot; means to me you have little experience with that.<p>You say that Flutter takes the best ideas of UI toolkits, but then say it&#x27;s mostly web engine developers. So which one is it? Let me guess, they are using Flex as layout? So hardly the &quot;best ideas&quot;. Edit: Yes, flex [0]<p>On the other hand, I don&#x27;t need to use it to predict how bad quality apps will turn out to be. Just like Electron and React Native apps are bad, so will Flutter apps be, for the simple facts no native controls are used. (React &quot;Native&quot; is not native at all.) Even the best implementation (which Electron and React Native do not have) would still mean bad apps simply because they are not using native widgets.<p>You seem to only care about developer experiencewhich I disagree as well. I only care about user experience. User experience is king and developer experience is complimentary.<p>[0] <a href=""https:&#x2F;&#x2F;github.com&#x2F;flutter&#x2F;flutter&#x2F;blob&#x2F;master&#x2F;packages&#x2F;flutter&#x2F;lib&#x2F;src&#x2F;rendering&#x2F;flex.dart"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;flutter&#x2F;flutter&#x2F;blob&#x2F;master&#x2F;packages&#x2F;flut...</a>",2018-03-18 19:28:24,16613766
3562,"I did a project in Xamarin Forms. The toolkit kinda worked, but nothing great about it. Amount of bugs was amusing: bugs from Xamarin + bugs from iOS + bugs from Android. Certainly does not fill most of my points. Writing anything custom was pain in the ass, since you needed both Android and iOS knowledge to implement the renderers.<p>Sure it would be the best to go fully native and hire 3 iOS + 3 Android devs, but who will do this when they can have 95% of the same with 2 flutter devs?",2018-03-18 20:33:29,16614152
3698,"Xamarin: <a href=""https:&#x2F;&#x2F;www.xamarin.com"" rel=""nofollow"">https:&#x2F;&#x2F;www.xamarin.com</a><p>Xojo: <a href=""https:&#x2F;&#x2F;www.xojo.com"" rel=""nofollow"">https:&#x2F;&#x2F;www.xojo.com</a><p>Flutter: <a href=""http:&#x2F;&#x2F;flutter.io"" rel=""nofollow"">http:&#x2F;&#x2F;flutter.io</a>",2018-06-13 03:47:34,17300086
3708,&gt; Imo the only serious contenders for crossplatform apps are react native and flutter.<p>Why not Xamarin? It also has the backing of a top software company.,2018-06-17 01:42:24,17330493
3713,"Were a C# shop, with a heavy tie into Microsoft infrastructure and Azure. Doesnt mean we wont be looking into flutter.<p>Xamarin is terrible to work with, and if AngularDart shares code with Flutter then it might be interesting to replace angularJS + Xamarin with dart.<p>I only clicked this article because I a Danish municipality programmer, I follow, comment on flutter, on one of the Microsoft news portals though, so the community is definitely a lot smaller than the Xamarin.",2018-06-17 20:00:33,17334011
3721,"I have a different view on it, I actually like Dart. I like the strong types and how the language is more suited for enterprise development than both typescript and JavaScript.<p>There is the added benefit of being able to reuse assets from your mobile app in AngularDart, which I suspect may see an increase in use along with flutter.<p>Im not coming from Kotlin or rust though, but a .net core backend with JavaScript on the front end and Xamarin for apps. I can definitely see us move from AngularJS and Xamarin to flutter and AngularDart though as this move would be a nice improvement.<p>Im not too worried about the lack of available projects and libraries on dart compared to say JS, as we typically wouldnt include some one man hobby project anyway.<p>That being said, I think well wait and see what happens throughout 2018.",2018-06-20 16:19:15,17356769
3726,"Were currently using Xamarin and azure as a backend, though not serverless yet as stuff like cosmos pricing is still too expensive. But using Xamarin, which is terrible on its own, were also splitting our clients up in two languages. Id like if we could adopt flutter and angularDart for clients, and Id really like to run some of the backend in something like Firebase &#x2F; cloud firestore.<p>Im not sure if google is a good option in terms of privacy and EU legislation though. I have my lawyers looking into it currently, but to be honest Id love if Microsoft made an Azure alternative and fully embraced dart for azure.<p>This is probably unlikely, but it would be really awesome.",2018-06-23 07:36:07,17380032
3744,"well, sure, if what you mainly work on is android, then it make sense that kotlin is getting hyped<p>that being said, for an outsider (i mainly do BI and DB stuff), it seem like xamarin (C# and F#), flutter (Dart), react native (reasonml) .. might seem like the options to investigate first nowadays<p>i think outside of android development, kotlin .. is not hyped at all",2018-07-05 15:56:48,17464249
3822,"I don&#x27;t know where they got those numbers.  This graph seems more realistic to me [edit: maybe not - see subcomments]:<p><a href=""http:&#x2F;&#x2F;sotagtrends.com&#x2F;?tags=[ionic-framework,react-native,flutter,xamarin]&amp;relative=true"" rel=""nofollow"">http:&#x2F;&#x2F;sotagtrends.com&#x2F;?tags=[ionic-framework,react-native,f...</a><p>That is, Flutter is shooting up and overtaking Xamarin but still only half the popularity of React Native.  This also roughly correlates with mentions on Google Trends:<p><a href=""https:&#x2F;&#x2F;g.co&#x2F;trends&#x2F;y9Z8q"" rel=""nofollow"">https:&#x2F;&#x2F;g.co&#x2F;trends&#x2F;y9Z8q</a><p>On job websites React Native is way ahead - which you would expect given React Native&#x27;s headstart.  For example,  www.jobstreet.co.id currently has 43 jobs for &quot;React Native&quot; but only 5 for &quot;Flutter&quot;.",2018-09-20 03:34:44,18029570
3888,"React Native very much took things by storm when it came out and as it gained popularity very much supplanting previously leading hybrid mobile development solutions like Phonegap, Ionic, Xamarin, etc. It is currently the top cross platform development option but not everything seems to be going smoothly for it. As of late it would seem that there is a shift going on towards Google&#x27;s Flutter and even previously big React Native backers like Airbnb and Udacity have turned their back on React Native opting instead to go with native solutions while others deciding to go with Flutter (For example: https:&#x2F;&#x2F;medium.com&#x2F;reflectly-engineering&#x2F;reflectly-from-react-native-to-flutter-2e3dffced2ea)<p>The React Native development team seems to have planned a re-architecture of it as an answer to the issues these groups have found and which lead them to turn away from it.<p>One big pain point for React Native seems to be the so called &quot;dependency hell&quot;, where every project has to rely on a plethora of third party npm dependencies which constantly break even with the smallest updates. The whole tooling and setup of the framework seems very fragile and as a result developers are constantly having to spend time &quot;fixing&quot; stuff to get their projects working. Several posts in the React Native subreddit have expressed frustration over these issues. From what I gather Flutter does not suffers from this particular problem and it&#x27;s setup&#x2F;tooling is rather painless. And in term of app performance Flutter appears to do better as it doesn&#x27;t relies on a javascript bridge like React Native does (which seems to be the reason for slow performance at times).<p>Could all these be signs that it is the beginning of the end (so to speak) for React Native as the &quot;latest and greatest&quot; and could Flutter end up supplanting it as the framework of choice to develop for both platforms?",2018-10-21 12:49:22,18267764
3939,"One of the main issue with Flutter is that you can&#x27;t embed a native view inside a flutter widget tree. This makes it limited as we can&#x27;t have inline maps or custom video views.<p>There are people working on it. The progrss has been slow. I checked a couple of weeks ago and the issue was still open.<p>But as far as I know you can have a native view in its own  activity.<p>Though not a blocker for simple apps which previously used Cordova or ionic, I don&#x27;t think Flutter is ready to replace native development for immersive apps.<p>Embedding a native view in cross platform UI is possible with Xamarin and React Native, so they are more practical choice for certain types of apps that need this.",2018-12-04 19:06:07,18602617
3944,"I&#x27;ve been following and using Flutter since release 0.2. I think Flutter is an amazing project. It makes writing concise and beautiful apps very easy. I&#x27;ve come to love Dart and the whole Flutter framework. I really think it is the best framework to write Android applications. It also works great for iOS were you can either choose to use Material or Cupertino components. It is a huge improvement over the old Android SDK; which is quite outdated in my opinion. It&#x27;s too hard to create a beautiful app with the current Android SDK. To many hurdless. Flutter feels like what developing an Android app should be like today.
Another thing about Flutter is that it&#x27;s also ready to work with Google&#x27;s (upcoming; maybe) Fuchsia OS.
One loose end is still the plugins for native features on either iOS and Android. There are many community driven plugins which aren&#x27;t really maintained. Fortunately there is also a large set of plugins maintained by the Flutter team itself.<p>I&#x27;ve tried Xamarin, React Native and Cordova (god forbids) and native development on iOS and Android. My preference is Flutter.<p>I&#x27;ve done one big(ish) project with Flutter and it&#x27;s called &quot;My Leaf&quot; and it is a third party alternative to the NissanConnect EV app. It&#x27;s used for controlling the Nissan Leaf and Nissan e-NV200 (both EV&#x27;s). It&#x27;s open source and available on Android and iOS;<p><a href=""https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=dk.kjeldsen.carwingsflutter"" rel=""nofollow"">https:&#x2F;&#x2F;play.google.com&#x2F;store&#x2F;apps&#x2F;details?id=dk.kjeldsen.ca...</a><p><a href=""https:&#x2F;&#x2F;itunes.apple.com&#x2F;us&#x2F;app&#x2F;my-leaf-for-nissan-leaf&#x2F;id1436701776"" rel=""nofollow"">https:&#x2F;&#x2F;itunes.apple.com&#x2F;us&#x2F;app&#x2F;my-leaf-for-nissan-leaf&#x2F;id14...</a><p>I&#x27;ve seen some of the comments in this post talk about developing plugins for Flutter. I actually think it is easy and does not require much boilerplate contrary to what people say. My guess is that they really haven&#x27;t tried writing a plugin but only peeked at the documentation.",2018-12-05 09:01:21,18606706
